ID,S Leitsatz 1,S Leitsatz 2,S Leitsatz 3,S Leitsatz 4,S Leitsatz 5,S Leitsatz 6,L Leitsatz 1,L Leitsatz 2,L Leitsatz 3,L Leitsatz 4,L Leitsatz 5,x,y,cluster
601094497,-1.0,1.0,1.0,2.0,2.0,2.0,1.0,-1.0,1.0,2.0,2.0,0.18634975142527607,0.0578143227660523,1.0
2096369571,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4278174778286898,3.509760698554457,1.0
1573817086,1.0,2.0,2.0,1.0,2.0,2.0,2.0,-1.0,2.0,2.0,0.0,-1.7828588043875693,1.8029748119379774,1.0
549904493,2.0,1.0,2.0,1.0,1.0,1.0,1.0,-2.0,2.0,1.0,-1.0,-0.791363424237394,3.836845527465807,1.0
1537131399,-1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,-1.0,-1.1615892571167008,0.027754806526623554,1.0
1084547649,-1.0,-1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.16887867449705227,-2.3031929535169953,1.0
1532136162,-2.0,-2.0,-2.0,2.0,2.0,1.0,1.0,2.0,2.0,-2.0,2.0,3.8240738281212794,-1.9148326793766122,0.0
56359514,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.2660223435554014,-0.7239656471470315,1.0
1201049742,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,-2.2566475400567745,0.6433206044316863,1.0
1291641576,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.910281785589833,-3.146363273613107,0.0
1496498902,-2.0,1.0,-1.0,2.0,2.0,-1.0,2.0,-1.0,2.0,1.0,1.0,2.2730967487814144,-0.13587944418419734,1.0
1667606748,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5060679954222715,2.404677799965459,0.0
1097311208,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,-2.3756277969391517,0.15295440006996558,1.0
93717132,-2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,-1.0,2.0,0.3612765012124386,-1.0784258427970894,1.0
1969888224,-1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,-0.6109709510717544,-0.1644176481058095,1.0
260208956,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-3.3916465291850075,-0.48687836131017953,1.0
763868010,-1.0,0.0,-1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.5129255917102296,-1.1265893426821838,0.0
1467737922,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,-2.6914642020073143,-0.39992819576423555,1.0
479583878,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,-2.3619389824205768,0.9381700577477989,1.0
255244153,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,-1.1884843842251727,0.2031561253723702,1.0
1250806293,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,-1.75748168861728,-1.372809466415023,1.0
1427441015,1.0,1.0,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,-0.6502434180922273,-1.3300486814062904,1.0
1384956158,-1.0,-1.0,-1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2.760219661911135,-0.34047279636894096,0.0
2059428359,-1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,-1.43905690619438,-0.3869037734414606,1.0
1898062679,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0,-1.9088935402291385,-0.2655578413479467,1.0
521095148,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,-2.547980770922257,0.025730882676195707,1.0
827202218,2.0,2.0,2.0,2.0,1.0,2.0,-1.0,2.0,1.0,1.0,1.0,-2.3306463683703207,1.5331624632033594,1.0
605019862,-2.0,-2.0,-1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.173541151838895,-1.4106975333385516,0.0
719817013,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0,2.0,0.0,-1.8693577312203844,1.487520648480331,1.0
940809346,-1.0,1.0,-1.0,2.0,2.0,2.0,1.0,2.0,2.0,-1.0,2.0,0.9217540577659327,-1.2402345290588834,1.0
788123655,2.0,1.0,2.0,-2.0,2.0,0.0,2.0,2.0,2.0,-1.0,-1.0,-1.293125745579861,2.901222224919355,1.0
1417337261,-1.0,1.0,-1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.1596446583176054,-0.7027011624419184,1.0
211443265,-1.0,2.0,-1.0,2.0,2.0,-1.0,2.0,2.0,2.0,2.0,2.0,0.2220556619415864,-1.7737415963326175,1.0
1783673144,-1.0,1.0,-1.0,0.0,0.0,2.0,1.0,-1.0,2.0,1.0,1.0,1.7613249122473311,1.2297295638453092,1.0
928203391,-1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,-1.20395416728687,-1.6774569767337568,1.0
867221721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014505512994302,2.785489901840175,0.0
1746241804,-2.0,-2.0,1.0,2.0,1.0,2.0,2.0,-1.0,2.0,2.0,1.0,2.1095848195189664,-0.7105789349865229,0.0
749627166,-1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,-0.14031519845270454,-0.6613780259001963,1.0
1675631577,-1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,-1.0398890579081692,-1.2380568878381406,1.0
885125163,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-3.3916465291850075,-0.48687836131017953,1.0
2089475596,2.0,-1.0,2.0,-1.0,2.0,0.0,-1.0,0.0,2.0,1.0,0.0,0.2937963109632099,3.2213346006238543,1.0
1165987366,-1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,-1.5920395503718727,-1.2492224287946703,1.0
621390593,-1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,-0.9345796435817372,-0.7577952141581874,1.0
818954943,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,-3.2481630980999503,-0.061219282869748266,1.0
1559760215,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.8735565250214898,-2.178361036098102,1.0
994209005,-2.0,-2.0,-2.0,1.0,1.0,2.0,-1.0,1.0,2.0,1.0,1.0,4.116912745262374,-0.749996241564965,0.0
1911478937,-2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,-0.0007637991113781152,-1.7905983371326395,1.0
2131374467,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,-2.5411229284473102,0.023556570229772075,1.0
260302117,-2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.4694541421110715,-1.6696502864887077,1.0
661392644,-2.0,0.0,1.0,2.0,0.0,0.0,-1.0,2.0,2.0,0.0,2.0,1.5103097083368424,-0.42751679069519233,1.0
1111972007,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.303378818922312,-0.8281627437033221,1.0
757767751,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,-2.299991915480766,0.23922352230771515,1.0
1917880730,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.9169590819010989,-1.6293146669343264,1.0
363760742,2.0,2.0,2.0,2.0,-1.0,2.0,1.0,1.0,2.0,1.0,1.0,-2.4885042285969035,1.6324903282462546,1.0
1017747980,-1.0,1.0,-1.0,1.0,2.0,-1.0,-2.0,-2.0,2.0,-1.0,1.0,3.254245013673414,2.783237106972937,0.0
1478564720,2.0,-1.0,2.0,-2.0,0.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.20491667225423527,3.5693975415053893,1.0
1227638577,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,-2.0,1.0,-0.9307317736480987,0.12450077188116275,1.0
1046900667,-2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,-1.0,1.0,-0.16941928533497833,-0.6712272727728371,1.0
1874549912,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,-1.6299922197309842,-0.7779965100534637,1.0
1319875612,-2.0,-1.0,-1.0,2.0,2.0,1.0,1.0,1.0,2.0,-2.0,2.0,3.0116725428648614,-1.0744227006410794,0.0
