comment-id,timestamp,datetime,author-id,agrees,disagrees,moderated,comment-body,x,y,group_0,group_1
610,1518389767991,Mon Feb 12 05:56:07 WIB 2018,1188,74,58,1,"There should be no punishment for small amounts of marijuana possession, in my opinion",-2.59474461996231,-0.8745942160719122,2.6863956142812408e-12,0.10073681596154208
609,1518388826098,Mon Feb 12 05:40:26 WIB 2018,1183,3,1,-1,We need more museums for cultural and educational opportunities.,-2.6043205829657046,-0.8686229644957941,1.4615205423952657,0.008208038178920617
608,1518387005301,Mon Feb 12 05:10:05 WIB 2018,1183,143,47,1,"Bowling Green needs more cultural and educational establishments, like sciemce, history and art museums.",-2.5707134750312886,-0.852819440039445,1.3936922817210782,0.19614772103525122
607,1518385933986,Mon Feb 12 04:52:13 WIB 2018,1060,6,0,-1,Require business to pick up the litter they and their customers generate.,-2.571411873836132,-0.828989925579797,0.17674930655382687,0.12557110389130866
606,1518385807877,Mon Feb 12 04:50:07 WIB 2018,1181,167,13,1,Require businesses to pick up litter they and their customers generate.,-2.535707144644518,-0.8151807239855164,0.6666666666666666,1.5
605,1518385695093,Mon Feb 12 04:48:15 WIB 2018,1180,9,38,1,Everyone needs to research (fluoride)...definitely need this to disappear from our water,-2.531922786972287,-0.8784464533670456,0.6666666666666666,1.5
604,1518383269444,Mon Feb 12 04:07:49 WIB 2018,1176,1,0,-1,the city should look in to radom layoff,-2.623196387249548,-0.8518508467843885,0.6666666666666666,1.5
603,1518381636228,Mon Feb 12 03:40:36 WIB 2018,1171,113,24,1,Louisville rd area needs more businesses and restaurants extending out towards the factories to also bring in revenue from Edmonson Co.,-2.5709765483081193,-0.8586783337493393,0.6666666666666666,1.5
602,1518381318846,Mon Feb 12 03:35:18 WIB 2018,1171,1,0,-1,Bowling Green has a lot of river front property and potential that needs to be developed into parks and attractions.,-2.532949547591327,-0.9480801994803735,0.6666666666666666,1.5
601,1518381223247,Mon Feb 12 03:33:43 WIB 2018,1171,1,0,-1,More trees and shrubs need to be planted in areas that have none.,-2.5518446805838892,-0.9236933083486734,1.9852676725845113,0.22813579156085562
600,1518379903821,Mon Feb 12 03:11:43 WIB 2018,1171,1,0,-1,"Bowling Green needs to attract businesses that other large cities already have, Whole foods, Fresh Thyme, Trader Joe's, Ross, &Burkes outlet",-2.595056385407156,-0.8747656677843927,1.9285997363844274,0.2527526978178594
599,1518379731438,Mon Feb 12 03:08:51 WIB 2018,1171,1,0,-1,We need at river walk park like Owensboro ky. A place for families and tourism.,-2.5945130395470506,-0.8749532752293324,0.5055026822061575,1.7857142857137485
598,1518379604927,Mon Feb 12 03:06:44 WIB 2018,1171,97,18,1,Warren county needs to be more proactive about keeping their county maps up to date of new roads or developments especially online. (Google),-2.5673129903250196,-0.7986872644839729,0.6666666666666666,1.5
597,1518379277081,Mon Feb 12 03:01:17 WIB 2018,1171,147,26,1,It should be mandatory for all homes/businesses to have visible marking on mailbox and building for their address.,-2.5254920429427195,-0.8428356084405659,0.9587772096611626,1.6330021711277778e-07
596,1518375670226,Mon Feb 12 02:01:10 WIB 2018,1166,82,19,1,Expand Nashville Rd all the way past Chaney’s & Buchanan park.  Very dangerous area.. very much so for a school area & young drivers.,-2.5943619205006345,-0.8745825768125186,0.919336488116039,0.0007201800950150115
595,1518372851507,Mon Feb 12 01:14:11 WIB 2018,1165,40,20,1,The LEFT turning light at Nashville onto Dishman & the same for Scottsville onto Lovers Ln.. need to be longer to allow more to go through.,-2.5943619205006345,-0.8745825768125186,1.7439360192143707,0.149046080124414
592,1518365818664,Sun Feb 11 23:16:58 WIB 2018,1144,1,0,-1,Stop letting builders buy a random piece of land & then throw up 100’s of apartments on it. Esp right in town area w/high traffic. Enough!,-2.5788471412650127,-0.8801652003839042,1.6170179721879963,0.24102970789448014
594,1518367933376,Sun Feb 11 23:52:13 WIB 2018,1158,31,31,1,"Need a traffic signal on Cave Mill in front of Natcher School, operating 8-9 AM, 3:30-4:30.",-2.529538333090098,-0.8323949227065511,1.5103648572270187,0.20620630854577973
593,1518366258257,Sun Feb 11 23:24:18 WIB 2018,1155,1,0,-1,Mitch McConnell needs to be removed from office.,-2.5816635349910126,-0.877002180300817,1.5419853092377824,0.19749441827766712
591,1518364577162,Sun Feb 11 22:56:17 WIB 2018,639,106,17,1,"We need to SHADE street lamps. This actually increases visibility, reduces glare, and saves energy/ money. Using LEDs would save money, too.",-2.517761543634071,-0.8570859304176952,1.3796858041323166,0.32429986623943513
590,1518363462708,Sun Feb 11 22:37:42 WIB 2018,1060,55,24,1,Local companies that can't fill job openings should recruit from parts of KY w/ high unemployment & pay relocation expenses.,-2.536804445502175,-0.8324493299765056,1.6682058451480355,0.31028606481543836
589,1518362941495,Sun Feb 11 22:29:01 WIB 2018,1060,105,30,1,Companies that claim they cannot fill job openings should raise wages and improve working conditions.,-2.527933831024903,-0.8881624833810924,1.3376406559017129,0.00013671181339033667
588,1518362881222,Sun Feb 11 22:28:01 WIB 2018,1060,62,17,1,Local companies that can't fill job openings & the Workforce Dev't. Board should set up commuter lots and a shuttle service to rural areas.,-2.585868658434195,-0.8621633204186709,1.4872396354372832,0.2079449936071662
587,1518362611237,Sun Feb 11 22:23:31 WIB 2018,1060,64,34,1,BGDN should publish each month the number of job positions filled / people employed through the Workforce Development Board’s efforts.,-2.539364590195418,-0.7993923882254325,1.4917250492004608,0.18777300611399736
586,1518362374528,Sun Feb 11 22:19:34 WIB 2018,1060,184,16,1,"Bowling Green should consider a program, like Ft Worth Texas's Clean Slate, in which the homeless can earn money by cleaning up the city.",-2.5516298329470732,-0.8471304062296781,1.5712077267985955,0.0768818454228463
585,1518362193338,Sun Feb 11 22:16:33 WIB 2018,1060,59,42,1,BGDN should publish these BGPD stats weekly – 1) traffic citations 2) vehicle accidents reported; 3) traffic accidents resulting in injury.,-2.594692569534289,-0.8747726813548955,0.8675754257127891,4.264038350508692e-06
584,1518360787235,Sun Feb 11 21:53:07 WIB 2018,1132,66,17,1,The city & county school districts need to be re-evaluated The yards/houses that touch Potter Grays playground r all County school districts,-2.5569316343491226,-0.8536369892471798,0.4385102664912663,7.150794553656918e-37
583,1518354325302,Sun Feb 11 20:05:25 WIB 2018,1123,210,14,1,animal cruelty laws need to exist and be enforced,-2.510049985969572,-0.8951866128153777,1.3802110127493965,0.0329662834816096
582,1518354255450,Sun Feb 11 20:04:15 WIB 2018,1123,131,28,1,fines for leaving dog feces in public areas needs to be enforced,-2.5944435602739726,-0.8748465650981385,0.6666666666666666,1.5
